2023-11-25 21:57:13,354 logger       DEBUG    Triangle<A:Coordinate<x:20.9095156136808, y:410.241584925467, z:0.0>, B:Coordinate<x:40.3180931515552, y:410.199849093171, z:-13.1001425794933>, C:Coordinate<x:19.8861310769664, y:410.241584925467, z:-6.46139566877567>> => Triangle<A:Coordinate<x:312, y:259, z:0.0>, B:Coordinate<x:313, y:255, z:0.0>, C:Coordinate<x:309, y:257, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:20.9095156136808, y:410.241584925467, z:0.0>, B:Coordinate<x:42.3929519021799, y:410.199849093171, z:0.0>, C:Coordinate<x:40.3180931515552, y:410.199849093171, z:-13.1001425794933>> => Triangle<A:Coordinate<x:312, y:259, z:0.0>, B:Coordinate<x:320, y:259, z:0.0>, C:Coordinate<x:313, y:255, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:42.3929519021799, y:410.199849093171, z:0.0>, B:Coordinate<x:58.1301248631336, y:409.53732079814, z:-18.8876225125103>, C:Coordinate<x:40.3180931515552, y:410.199849093171, z:-13.1001425794933>> => Triangle<A:Coordinate<x:320, y:259, z:0.0>, B:Coordinate<x:317, y:253, z:0.0>, C:Coordinate<x:313, y:255, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:42.3929519021799, y:410.199849093171, z:0.0>, B:Coordinate<x:61.1216303838386, y:409.53732079814, z:0.0>, C:Coordinate<x:58.1301248631336, y:409.53732079814, z:-18.8876225125103>> => Triangle<A:Coordinate<x:320, y:259, z:0.0>, B:Coordinate<x:327, y:259, z:0.0>, C:Coordinate<x:317, y:253, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:61.1216303838386, y:409.53732079814, z:0.0>, B:Coordinate<x:70.1564648510684, y:407.916528335406, z:-22.7952172481837>, C:Coordinate<x:58.1301248631336, y:409.53732079814, z:-18.8876225125103>> => Triangle<A:Coordinate<x:327, y:259, z:0.0>, B:Coordinate<x:319, y:251, z:0.0>, C:Coordinate<x:317, y:253, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:61.1216303838386, y:409.53732079814, z:0.0>, B:Coordinate<x:73.7668725769982, y:407.916528335406, z:0.0>, C:Coordinate<x:70.1564648510684, y:407.916528335406, z:-22.7952172481837>> => Triangle<A:Coordinate<x:327, y:259, z:0.0>, B:Coordinate<x:331, y:259, z:0.0>, C:Coordinate<x:319, y:251, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:73.7668725769982, y:407.916528335406, z:0.0>, B:Coordinate<x:73.2313517547268, y:405.0, z:-23.7943085668709>, C:Coordinate<x:70.1564648510684, y:407.916528335406, z:-22.7952172481837>> => Triangle<A:Coordinate<x:331, y:259, z:0.0>, B:Coordinate<x:319, y:250, z:0.0>, C:Coordinate<x:319, y:251, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:73.7668725769982, y:407.916528335406, z:0.0>, B:Coordinate<x:77.0, y:405.0, z:0.0>, C:Coordinate<x:73.2313517547268, y:405.0, z:-23.7943085668709>> => Triangle<A:Coordinate<x:331, y:259, z:0.0>, B:Coordinate<x:332, y:258, z:0.0>, C:Coordinate<x:319, y:250, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:77.0, y:405.0, z:0.0>, B:Coordinate<x:65.3355794259177, y:400.322754655275, z:-21.2288166202701>, C:Coordinate<x:73.2313517547268, y:405.0, z:-23.7943085668709>> => Triangle<A:Coordinate<x:332, y:258, z:0.0>, B:Coordinate<x:316, y:250, z:0.0>, C:Coordinate<x:319, y:250, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:77.0, y:405.0, z:0.0>, B:Coordinate<x:68.6978936650714, y:400.322754655275, z:0.0>, C:Coordinate<x:65.3355794259177, y:400.322754655275, z:-21.2288166202701>> => Triangle<A:Coordinate<x:332, y:258, z:0.0>, B:Coordinate<x:328, y:257, z:0.0>, C:Coordinate<x:316, y:250, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:68.6978936650714, y:400.322754655275, z:0.0>, B:Coordinate<x:50.0185999363612, y:394.380528173903, z:-16.2520282973177>, C:Coordinate<x:65.3355794259177, y:400.322754655275, z:-21.2288166202701>> => Triangle<A:Coordinate<x:328, y:257, z:0.0>, B:Coordinate<x:311, y:251, z:0.0>, C:Coordinate<x:316, y:250, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:68.6978936650714, y:400.322754655275, z:0.0>, B:Coordinate<x:52.5926683423704, y:394.380528173903, z:0.0>, C:Coordinate<x:50.0185999363612, y:394.380528173903, z:-16.2520282973177>> => Triangle<A:Coordinate<x:328, y:257, z:0.0>, B:Coordinate<x:320, y:256, z:0.0>, C:Coordinate<x:311, y:251, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:52.5926683423704, y:394.380528173903, z:0.0>, B:Coordinate<x:32.4676392552907, y:388.276924364894, z:-10.5493754842286>, C:Coordinate<x:50.0185999363612, y:394.380528173903, z:-16.2520282973177>> => Triangle<A:Coordinate<x:320, y:256, z:0.0>, B:Coordinate<x:306, y:251, z:0.0>, C:Coordinate<x:311, y:251, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:52.5926683423704, y:394.380528173903, z:0.0>, B:Coordinate<x:34.1384961871336, y:388.276924364894, z:0.0>, C:Coordinate<x:32.4676392552907, y:388.276924364894, z:-10.5493754842286>> => Triangle<A:Coordinate<x:320, y:256, z:0.0>, B:Coordinate<x:311, y:255, z:0.0>, C:Coordinate<x:306, y:251, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:34.1384961871336, y:388.276924364894, z:0.0>, B:Coordinate<x:17.8699233519397, y:383.115547037256, z:-5.80629006721757>, C:Coordinate<x:32.4676392552907, y:388.276924364894, z:-10.5493754842286>> => Triangle<A:Coordinate<x:311, y:255, z:0.0>, B:Coordinate<x:301, y:252, z:0.0>, C:Coordinate<x:306, y:251, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:34.1384961871336, y:388.276924364894, z:0.0>, B:Coordinate<x:18.7895493545979, y:383.115547037256, z:0.0>, C:Coordinate<x:17.8699233519397, y:383.115547037256, z:-5.80629006721757>> => Triangle<A:Coordinate<x:311, y:255, z:0.0>, B:Coordinate<x:304, y:254, z:0.0>, C:Coordinate<x:301, y:252, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:18.7895493545979, y:383.115547037256, z:0.0>, B:Coordinate<x:11.4126781955418, y:380.0, z:-3.70820393249937>, C:Coordinate<x:17.8699233519397, y:383.115547037256, z:-5.80629006721757>> => Triangle<A:Coordinate<x:304, y:254, z:0.0>, B:Coordinate<x:299, y:252, z:0.0>, C:Coordinate<x:301, y:252, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:18.7895493545979, y:383.115547037256, z:0.0>, B:Coordinate<x:12.0, y:380.0, z:0.0>, C:Coordinate<x:11.4126781955418, y:380.0, z:-3.70820393249937>> => Triangle<A:Coordinate<x:304, y:254, z:0.0>, B:Coordinate<x:301, y:253, z:0.0>, C:Coordinate<x:299, y:252, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:12.0, y:380.0, z:0.0>, B:Coordinate<x:10.8410556696884, y:364.693888596417, z:-3.52247251503918>, C:Coordinate<x:11.4126781955418, y:380.0, z:-3.70820393249937>> => Triangle<A:Coordinate<x:301, y:253, z:0.0>, B:Coordinate<x:294, y:249, z:0.0>, C:Coordinate<x:299, y:252, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:12.0, y:380.0, z:0.0>, B:Coordinate<x:11.3989605075414, y:364.693888596417, z:0.0>, C:Coordinate<x:10.8410556696884, y:364.693888596417, z:-3.52247251503918>> => Triangle<A:Coordinate<x:301, y:253, z:0.0>, B:Coordinate<x:296, y:250, z:0.0>, C:Coordinate<x:294, y:249, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:11.3989605075414, y:364.693888596417, z:0.0>, B:Coordinate<x:10.4492897091419, y:330.591382536128, z:-3.39518003814402>, C:Coordinate<x:10.8410556696884, y:364.693888596417, z:-3.52247251503918>> => Triangle<A:Coordinate<x:296, y:250, z:0.0>, B:Coordinate<x:284, y:242, z:0.0>, C:Coordinate<x:294, y:249, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:11.3989605075414, y:364.693888596417, z:0.0>, B:Coordinate<x:10.9870333992844, y:330.591382536128, z:0.0>, C:Coordinate<x:10.4492897091419, y:330.591382536128, z:-3.39518003814402>> => Triangle<A:Coordinate<x:296, y:250, z:0.0>, B:Coordinate<x:286, y:243, z:0.0>, C:Coordinate<x:284, y:242, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:10.9870333992844, y:330.591382536128, z:0.0>, B:Coordinate<x:10.2482293598926, y:290.24193217763, z:-3.32985157054145>, C:Coordinate<x:10.4492897091419, y:330.591382536128, z:-3.39518003814402>> => Triangle<A:Coordinate<x:286, y:243, z:0.0>, B:Coordinate<x:272, y:233, z:0.0>, C:Coordinate<x:284, y:242, z:0.0>>
2023-11-25 21:57:13,355 logger       DEBUG    Triangle<A:Coordinate<x:10.9870333992844, y:330.591382536128, z:0.0>, B:Coordinate<x:10.7756260372566, y:290.24193217763, z:0.0>, C:Coordinate<x:10.2482293598926, y:290.24193217763, z:-3.32985157054145>> => Triangle<A:Coordinate<x:286, y:243, z:0.0>, B:Coordinate<x:274, y:234, z:0.0>, C:Coordinate<x:272, y:233, z:0.0>>
